"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Contractor,Country of Operator/Owner,Purpose,Detailed Purpose,Class of Orbit,Launch Mass (kg.), Dry Mass (kg.) ,Date of Launch
Starlink-1876 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1877 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1878 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1879 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1880 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1882 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1883 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1884 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1887 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1888 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1890 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1891 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1892 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1893 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1894 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1895 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1896 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1899 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1903 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1904,USA,USA,USA,Communications,,LEO,260,,4/05/2021
Starlink-1905 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1906 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1907 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1908 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1909 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1910 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1911 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1912 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1913 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1916 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1917 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1918 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1920 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1921 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1922 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1923 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1924 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1925 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1926 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1927 ,USA,USA,USA,Communications,,LEO,260,,24/11/2020
Starlink-1928 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1929 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1930 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1931 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1932 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1933 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1934 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1936 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1938 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1940 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1941 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1942 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1943 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1944 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1948 ,USA,USA,USA,Communications,,LEO,260,,24/10/2020
Starlink-1953 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1954 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1955 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1956 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1957 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1958 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1959 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1960 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1961 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1962 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1963 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1964 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1965 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1966 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1967 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1969 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1970 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1971,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1972 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-1973 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-1974 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-1975,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1976 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1977 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1978 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1979 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1980 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1981 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1982 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1983 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-1984 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1986 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1987 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1989 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1990 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1991 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1992 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-1993 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1994 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1995 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1996 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1997 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1998 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-1999 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2000 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2001 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2002 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2003 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2004 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2005 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2006 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2007 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2008 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2009 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2010 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2011 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2012 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2013 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2014 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2015 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2016 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2017 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2018 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2019 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2020 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2021 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2022 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2024 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2025 ,USA,USA,USA,Communications,,LEO,260,,4/02/2021
Starlink-2026 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2027 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2028 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2029 ,USA,USA,USA,Communications,,LEO,260,,28/04/2021
Starlink-2030 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2031 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2032 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2033 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2034 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2035 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2036 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2037 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2038 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2039 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2040 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2041 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2042 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2043 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2044 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2045 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2046 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2047 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2048 ,USA,USA,USA,Communications,,LEO,260,,7/04/2021
Starlink-2049 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2050 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2051 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2052 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2053 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2054 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2055 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2056 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2057 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2058 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2059 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2060 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2061 ,USA,USA,USA,Communications,,LEO,260,,28/04/2021
Starlink-2062 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2063,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2064 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2065 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2066 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2067 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2068 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2069 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2070 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2071 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2076 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2077 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2078 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2081 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2082 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2083 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2084 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2085 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2086 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2087,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2088 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2089 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2090 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2092 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2093 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2094 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2095 ,USA,USA,USA,Communications,,LEO,260,,15/02/2021
Starlink-2096 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2097 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2098 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2099 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2100 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2101 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2102 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2103 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2104 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2105 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2106 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2107 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2108 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2109 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2110 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2111 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2112 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2113 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2114 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2115 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2116 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2117 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2118 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2119 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2120 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2121 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2122 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2123 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2124 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2125 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2126 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2127 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2128 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2129 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2130 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2131 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2132 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2133 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2134 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2135 ,USA,USA,USA,Communications,,LEO,260,,20/01/2021
Starlink-2139,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2140 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2141 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2142 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2143 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2144 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2145,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2146 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2147 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2148 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2149 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2150 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2151,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2152 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2153 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2154 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2155,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2156 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2157 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2158 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2159 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2160 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2161 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2162 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2163 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2164 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2166,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2167,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2168 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2169 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2170 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2171 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2174 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2175 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2178 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2179 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2180 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2181 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2182 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2184 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2185 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2186,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2187,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2188,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2189 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2190,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2191,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2192 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2193 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2194 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2195 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2196 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2197 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2198 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2209 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2210 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2211 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2212 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2213,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2213 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2214,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2215,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2217,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2218 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2219,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2220,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2221,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2222,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2223 ,USA,USA,USA,Communications,,LEO,260,,4/03/2021
Starlink-2224,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2225,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2226 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2227,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2228,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2229 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2231,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2232,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2233,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2234,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2235,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2236,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2237,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2238,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2240,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2241,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2242,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2243 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2244,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2245,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2247,USA,USA,USA,Communications,,LEO,260,,9/05/2021
Starlink-2248,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2249,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2250,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2251,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2252,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2253,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2254 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2255,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2256,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2257 ,USA,USA,USA,Communications,,LEO,260,,11/03/2021
Starlink-2258 ,USA,USA,USA,Communications,,LEO,260,,14/03/2021
Starlink-2260 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2262 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2263 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2264 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2265 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2266 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2267 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2268 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2269,USA,USA,USA,Communications,,LEO,260,,9/05/2021
Starlink-2270 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2271 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2272 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2273 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2274,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2275,USA,USA,USA,Communications,,LEO,260,,15/05/2021
Starlink-2278 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2279 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2280 ,USA,USA,USA,Communications,,LEO,260,,14/03/2021
Starlink-2282 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2283 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2284 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2285 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2286 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2288 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2290 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2291 ,USA,USA,USA,Communications,,LEO,260,,14/03/2021
Starlink-2292 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2293 ,USA,USA,USA,Communications,,LEO,260,,14/03/2021
Starlink-2294 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2295 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2296 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2298 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2299 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2300 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2301 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2303 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2304 ,USA,USA,USA,Communications,,LEO,260,,14/03/2021
Starlink-2305 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2307 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
Starlink-2308 ,USA,USA,USA,Communications,,LEO,260,,24/03/2021
